Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RP15AY18AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,215654449,18000 BTU,15.2,7.7,Yes ,No
RUUD,RP15AY24AJ2NA,RCFY2417STANMC,R951V0403A17M4SCAP,215654612,24000 BTU,15.2,7.7,Yes ,No
RUUD,RP15AY24AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,215654583,24000 BTU,15.2,7.7,Yes ,No
RUUD,RP15AY24AJ2NA,RCFY2417STANMC,R951V0703A17M4SCAP,215654619,24000 BTU,15.2,7.7,Yes ,No
RUUD,RP15AY30AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,215654810,30000 BTU,15.0,7.5,Yes ,No
RUUD,RP15AY30AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,215654838,30000 BTU,15.0,7.5,Yes ,No
RUUD,RP15AY30AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,215654804,30000 BTU,15.0,7.5,Yes ,No
RUUD,RP15AY30AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,215657408,30000 BTU,14.3,7.5,Yes ,No
RUUD,RP15AY36AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,215656961,36000 BTU,15.2,7.8,Yes ,No
RUUD,RP15AY36AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,215656870,36000 BTU,15.2,7.8,Yes ,No
RUUD,RP15AY36AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,215656880,36000 BTU,15.2,7.8,Yes ,No
RUUD,RP15AY36AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,215656937,36000 BTU,15.2,7.8,Yes ,No
RUUD,RP15AY36AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,215656982,36000 BTU,15.2,7.8,Yes ,No
RUUD,RP15AY42AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,215654979,42000 BTU,16.0,8.1,Yes ,Yes
RUUD,RP15AY42AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,215655024,42000 BTU,16.0,8.1,Yes ,Yes
RUUD,RP15AY42AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,215655126,42000 BTU,16.0,8.1,Yes ,Yes
RUUD,RP15AY48AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,215655630,48000 BTU,15.2,8.1,Yes ,No
RUUD,RP15AY48AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,215655556,48000 BTU,15.2,8.1,Yes ,No
RUUD,RP15AY48AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,215655608,48000 BTU,15.2,8.1,Yes ,No
RUUD,RP15AY60AJ2NA,RCFY6021STAAMC,R951V0855A21M4SCAP,215657657,60000 BTU,14.3,7.7,Yes ,No
RUUD,RP15AY60AJ2NA,RCFY6021STAAMC,R951V1005A21M4SCAP,215657639,60000 BTU,14.3,7.7,Yes ,No
RUUD,RP15AY60AJ2NA,RCFY6024STANMC,R951V1155A24M4SCAP,215655894,60000 BTU,15.2,7.7,Yes ,No
RUUD,RD18AY36AJVCA,RCFY3617STANMC,R951V0403A17M4SCAP,216891633,36000 BTU,18.0,8.5,Yes,Yes
RUUD,RD18AY36AJVCA,RCFY3617STANMC,R951V0603A17M4SCAP,216891475,36000 BTU,18.0,8.5,Yes,Yes
RUUD,RD18AY36AJVCA,RCFY3617STANMC,R951V0703A17M4SCAP,216891729,36000 BTU,18.0,8.5,Yes,Yes
RUUD,RD18AY36AJVCA,RCFY3621STANMC,R951V0855A21M4SCAP,216891511,36000 BTU,19.0,8.5,Yes,Yes
RUUD,RD18AY36AJVCA,RCFY3621STANMC,R951V1005A21M4SCAP,216891519,36000 BTU,18.0,8.5,Yes,Yes
RUUD,RD18AY36AJVCA,RCFY3624MTANMC,R951V1155A24M4SCAP,216891767,36000 BTU,19.0,10.0,Yes,Yes
RUUD,RD18AY48AJVCA,RCFY4821STANMC,R951V0855A21M4SCAP,216819929,48000 BTU,17.0,8.1,Yes,No
RUUD,RD18AY48AJVCA,RCFY4821STANMC,R951V1005A21M4SCAP,216820010,48000 BTU,17.0,8.1,Yes,No
RUUD,RD18AY48AJVCA,RCFY4824MTANMC,R951V1155A24M4SCAP,216891430,48000 BTU,18.0,8.5,Yes,Yes
RUUD,RD18AY48AJVCA,RCFY4824STANMC,R951V1155A24M4SCAP,216820123,48000 BTU,18.0,8.1,Yes,No
RUUD,RD18AY60AJVCA,RCFY6021STAAMC,R951V0855A21M4SCAP,216820531,60000 BTU,16.0,8.1,Yes,No
RUUD,RD18AY60AJVCA,RCFY6021STAAMC,R951V1005A21M4SCAP,216820580,60000 BTU,16.0,8.1,Yes,No
RUUD,RD18AY60AJVCA,RCFY6024STANMC,R951V1005A21M4SCAP,216820245,60000 BTU,17.0,10.0,Yes,Yes
RUUD,RD18AY60AJVCA,RCFY6024STANMC,R951V1155A24M4SCAP,216820352,60000 BTU,17.0,10.0,Yes,Yes
